sym,verdict,reason,signals,last_candle,base,drop_peak_%,pos_in_base_%,from_low_%,name
024840.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),56.0,44.0,0.0,KBI메탈
069540.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),71.0,34.0,0.0,빛과전자
015590.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),76.0,35.0,0.0,DKME
023790.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),89.0,6.0,46.0,동일스틸럭스
079950.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),86.0,19.0,0.0,인베니아
256840.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),96.0,14.0,30.0,한국비엔씨
071090.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,꼬리군,-,베이스(완만),60.0,20.0,33.0,하이스틸
057680.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",-,베이스(완만),94.0,7.0,37.0,티사이언티픽
333430.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),63.0,15.0,41.0,일승
026940.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),71.0,17.0,28.0,부국철강
089590.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),79.0,11.0,18.0,제주항공
017900.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),69.0,31.0,0.0,광전자
320000.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스(완만),79.0,13.0,41.0,한울반도체
010660.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),69.0,14.0,24.0,화천기계
032580.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),52.0,48.0,0.0,피델릭스
028300.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),74.0,13.0,40.0,HLB
037440.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),70.0,30.0,42.0,희림
003280.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),77.0,9.0,22.0,흥아해운
261780.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승펀치",-,베이스(완만),82.0,17.0,44.0,아리바이오랩
090710.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),76.0,24.0,0.0,휴림로봇
060280.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),68.0,14.0,39.0,큐렉소
377300.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),81.0,41.0,0.0,카카오페이
004430.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,도지,베이스(완만),58.0,42.0,41.0,송원산업
022100.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),73.0,18.0,31.0,포스코DX
130660.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),57.0,17.0,38.0,한전산업
012860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,양봉스프링,베이스(완만),69.0,31.0,0.0,모베이스전자
065170.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),74.0,26.0,0.0,비엘팜텍
010690.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),66.0,15.0,26.0,화신
003000.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),81.0,13.0,28.0,부광약품
047920.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),80.0,9.0,42.0,HLB제약
201490.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",-,베이스(완만),72.0,32.0,0.0,미투온
094940.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),57.0,19.0,44.0,푸른로보틱스
319400.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),56.0,44.0,0.0,현대무벡스
046970.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),70.0,30.0,0.0,우리로
009270.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),71.0,21.0,30.0,신원
323410.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",작은몸통양꼬리양봉,베이스(완만),75.0,14.0,15.0,카카오뱅크
179900.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),94.0,2.0,41.0,유티아이
039860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,꼬리군,-,베이스(완만),56.0,20.0,44.0,나노엔텍
095700.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,음봉스프링,베이스(완만),95.0,11.0,41.0,제넥신
290660.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),78.0,22.0,48.0,다이나믹솔루션
071280.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),66.0,14.0,45.0,로체시스템즈
024060.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),70.0,7.0,21.0,흥구석유
203650.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",위꼬리양봉,베이스(완만),58.0,18.0,45.0,드림시큐리티
361610.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),93.0,16.0,38.0,SK아이이테크놀로지
030530.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),56.0,44.0,0.0,원익홀딩스
053950.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스(완만),92.0,12.0,36.0,경남제약
001250.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),53.0,13.0,21.0,GS글로벌
330350.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),54.0,27.0,31.0,위더스제약
078150.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),69.0,7.0,22.0,HB테크놀러지
000540.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스(완만),51.0,18.0,29.0,흥국화재
000890.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),75.0,6.0,14.0,보해양조
